parcel_id,owner_name,class_code,lot_size_acres,land_value,building_value,total_value,year_built,building_style,building_grade,living_area_sqft,total_rooms,bedrooms,full_baths,half_baths,heating_type,heating_fuel,ac_type,roof_material,exterior_walls,stories,zoning,last_sale_price,last_sale_date,condition_percent
1-1,"BEATTY, JOHN J &",1010,2.34,163900,283100,461900,1963.0,CONTEMPORY,AVG. (-),2332.0,7.0,3.0,2.0,0.0,FORCED H/A,OIL,,STD SEAM,TEX 111,2,R3,0.0,2017-10-23 00:00:00,79.0
2-15,TINY SEEDS VILLAGE LLC,3520,0.74,257500,897100,1177500,1960.0,SCHOOL,Good (+),3368.0,0.0,0.0,0.0,0.0,FORCED H/A,OIL,,ASPHALT SH,CLAPBOARD,1,R3,2013000.0,2023-07-17 00:00:00,68.0
3-2,"ANDERSON, PHILIP & MCCUE, MARIAM",1010,3.61,170000,359600,529600,1980.0,CONTEMPORY,GOOD (-),1267.0,8.0,4.0,2.0,1.0,ELECTRC BB,ELECTRIC,,ASPHALT SH,WOOD,1,R3,565000.0,2021-06-17 00:00:00,90.0
3-4,"WYATT, MICHAEL W &",1010,1.77,192200,254100,461100,1967.0,SPLIT/RSD RANCH,AVG. (+),1086.0,7.0,3.0,1.0,0.0,FORCED H/W,GAS,,STD SEAM,WOOD,1,R3,374000.0,2017-04-05 00:00:00,86.0
3-5,CITY OF LEBANON,9030,18.73,403200,0,403200,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,R3,0.0,1997-06-05 00:00:00,
3-6,"KELLY, LAWRENCE & LORRAINE TTEES",1010,1.21,359900,449000,810100,1968.0,RANCH,GOOD (+),2375.0,8.0,3.0,2.0,1.0,ELECTRC BB,ELECTRIC,,ASPHALT SH,CLAPBOARD,1,R3,0.0,2021-08-01 00:00:00,82.0
3-7,"CHAMBERLAIN, R M TTEE",1010,1.89,362700,306400,669100,1974.0,RANCH,AVG. (+),1506.0,7.0,3.0,1.0,0.0,FORCED H/W,OIL,,ASPHALT SH,AVERAGE,1,R3,0.0,2003-08-22 00:00:00,86.0
3-8,"SMITH, MARISA TTEE",1010,0.62,147900,488100,636000,1970.0,COLONIAL,GOOD,2320.0,7.0,3.0,2.0,1.0,FORCED H/A,OIL,,ASPHALT SH,CLAPBOARD,2,R3,0.0,2021-06-22 00:00:00,82.0
3-9,"ESHBAUGH, J C & M J TTEE",1010,0.62,147900,522700,672100,1966.0,COLONIAL,GOOD,2900.0,9.0,4.0,3.0,1.0,FORCED H/W,OIL,,STD SEAM,VINYL,2,R3,0.0,2015-03-27 00:00:00,79.0
3-10,"HUTCHINS, J J & J S CO-TTEES",1010,0.48,137200,568500,706600,1981.0,CAPE,GOOD,3177.0,10.0,4.0,3.0,1.0,FORCED H/W,OIL,,ASPHALT SH,ALUMINUM,1H,R3,0.0,2019-09-13 00:00:00,83.0
3-11,"QUATTRINI LI, ALBERTO",1010,0.6,146200,552600,699200,1995.0,COLONIAL,GOOD,2425.0,8.0,3.0,2.0,1.0,FORCED H/W,GAS,,ASPHALT SH,CLAPBOARD,2,R3,869000.0,2022-05-13 00:00:00,94.0
3-12,"BUTLER, THOMAS H &",1010,0.55,142300,359500,502200,1970.0,SPLIT/RSD RANCH,GOOD,1782.0,8.0,3.0,2.0,0.0,FORCED H/W,OIL,,ASPHALT SH,TEX 111,1,R3,372000.0,2016-05-26 00:00:00,79.0
3-13,DRENNAN KEVIN S,1010,0.49,137900,640600,779000,1986.0,COLONIAL,GOOD (+),2705.0,11.0,4.0,3.0,1.0,FORCED H/W,OIL,,ASPHALT SH,VINYL,2,R3,825000.0,2023-09-15 00:00:00,92.0
3-14,"CAMPBELL, D D & J S TTEES",1010,0.52,140100,501300,643700,1983.0,CONTEMPORY,GOOD,2196.0,9.0,4.0,2.0,1.0,FORCED H/A,OIL,,ASPHALT SH,WOOD,2,R3,516700.0,2018-04-30 00:00:00,90.0
3-15,"AMADIUME, IFI",1010,0.54,141600,415900,557700,1974.0,CONTEMPORY,GOOD,2363.0,7.0,2.0,3.0,0.0,FORCED H/W,OIL,,ASPHALT SH,BOARD+BATT,1,R3,339000.0,2005-01-10 00:00:00,83.0
3-16,IONESCU-TAJTI CLAUDIU G,1012,0.55,142300,561900,704200,1979.0,COLONIAL,AVG. (+),3400.0,11.0,5.0,2.0,1.0,FORCED H/A,GAS,,ASPHALT SH,COMP CLAP,2,R3,0.0,2024-12-05 00:00:00,88.0
3-17,"HICKOX III, C F & S C TTEES",1010,1.18,160300,527200,687700,1976.0,CONTEMPORY,GOOD,1890.0,7.0,3.0,1.0,1.0,FORCED H/A,OIL,,STD SEAM,WOOD,1,R3,499000.0,2019-06-25 00:00:00,88.0
3-18,CHAMBERS MARGARET FRIIS,1010,1.38,201000,624000,825200,1971.0,COLONIAL,GOOD,3404.0,11.0,3.0,1.0,0.0,FORCED H/W,OIL,,ASPHALT SH,CLAPBOARD,2,R3,1050000.0,2024-10-01 00:00:00,82.0
3-19,"PURCELL, K P & T A TTEES",1010,0.88,159300,685100,844400,1973.0,CAPE,GOOD (+),3616.0,6.0,2.0,2.0,1.0,FORCED H/W,OIL,,ASPHALT SH,CLAPBOARD,1A,R3,395000.0,2015-10-01 00:00:00,88.0
3-20,"HILL, BRANDON GREGORY",1010,1.31,200700,581400,782100,1971.0,RANCH,GOOD,2243.0,7.0,3.0,1.0,1.0,FORCED H/W,OIL,,ASPHALT SH,WOOD SHING,1,R3,825000.0,2021-10-15 00:00:00,97.0
3-21,"BOGHOSIAN, GILBERTE TTEE",1310,2.8,65600,0,65600,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,R3,0.0,2017-02-23 00:00:00,
3-22,"OBERG, CURTIS P & SHERRI C",1040,2.8,220500,881300,1101800,2001.0,CONTEMPORY,V GOOD-,3071.0,9.0,3.0,2.0,1.0,RADIANT,GAS,,STD SEAM,CLAPBOARD,2,R3,957000.0,2016-04-13 00:00:00,94.0
3-23,"ARCONE, STEVEN A TTEE",1010,0.55,142300,328100,470400,1974.0,RANCH,AVG. (+),1548.0,7.0,3.0,2.0,1.0,ELECTRC BB,ELECTRIC,,ASPHALT SH,CLAPBOARD,1,R3,0.0,2017-09-06 00:00:00,88.0
3-24,"FAUNCE, ANDREW G &",1010,0.5,138700,316400,455600,1972.0,RANCH,AVG. (+),1372.0,7.0,3.0,1.0,0.0,FORCED H/W,OIL,,ASPHALT SH,WOOD,1,R3,370000.0,2008-11-13 00:00:00,88.0
3-28,"BOGHOSIAN, GILBERTE TTEE",1010,4.42,173300,785000,985900,1972.0,CAPE,GOOD (+),4687.0,11.0,5.0,1.0,1.0,FORCED H/W,OIL,,WOODSHINGL,CLAPBOARD,1H,R3,0.0,2017-02-23 00:00:00,88.0
3-33,"OGAWA, MAKIO & MARY-JANE TTEES",1010,1.14,160200,557100,717300,1979.0,COLONIAL,GOOD,2614.0,9.0,3.0,2.0,1.0,FORCED H/W,OIL,,ASPHALT SH,CLAPBOARD,2,R3,0.0,2019-12-11 00:00:00,88.0
3-34,"PARRADO, EDGAR TTEE",1010,0.88,159300,526200,685500,1980.0,COLONIAL,GOOD (+),2521.0,7.0,3.0,2.0,1.0,RADIANT,OIL,,ASPHALT SH,CLAPBOARD,2,R3,551000.0,2020-07-17 00:00:00,83.0
3-35,CITY OF LEBANON,9030,19.5,1247000,0,1247000,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,R3,0.0,1997-08-05 00:00:00,
3-36,"TRUE, BENJAMIN J &",1010,0.53,140800,383700,524500,1985.0,CAPE,AVG. (+),2344.0,7.0,4.0,2.0,1.0,FORCED H/A,GAS,,ASPHALT SH,CLAPBOARD,1T,R3,350000.0,2014-04-30 00:00:00,87.0
