Parcel ID,Assessment Year,Total Assessed Value,Land Assessed Value,Building Assessed Value,Data Source,Assessment Date,Tax Year
1-1,2022,461900.0,163900.0,283100.0,City Parcel Master,2022-01-01,2022
1-1,2020,461900.0,163900.0,283100.0,NHDRA,2020-01-01,2020
1-2,2022,628600.0,148100.0,467700.0,City Parcel Master,2022-01-01,2022
1-2,2020,655400.0,148100.0,496100.0,NHDRA,2020-01-01,2020
1-3-100,2022,521900.0,161800.0,359600.0,City Parcel Master,2022-01-01,2022
1-3-100,2020,521900.0,161800.0,359600.0,NHDRA,2020-01-01,2020
1-3-200,2022,1140500.0,176200.0,964300.0,City Parcel Master,2022-01-01,2022
1-3-200,2020,1151200.0,176200.0,975000.0,NHDRA,2020-01-01,2020
1-6,2022,902300.0,271100.0,616700.0,City Parcel Master,2022-01-01,2022
1-6,2020,925100.0,215200.0,702200.0,NHDRA,2020-01-01,2020
1-8,2022,579300.0,165100.0,397200.0,City Parcel Master,2022-01-01,2022
1-8,2020,576400.0,165100.0,394300.0,NHDRA,2020-01-01,2020
1-9,2022,532600.0,159800.0,372500.0,City Parcel Master,2022-01-01,2022
1-9,2020,532600.0,159800.0,372500.0,NHDRA,2020-01-01,2020
1-10,2022,810700.0,165800.0,634800.0,City Parcel Master,2022-01-01,2022
1-10,2020,810700.0,165800.0,634800.0,NHDRA,2020-01-01,2020
2-1,2022,515400.0,161500.0,353900.0,City Parcel Master,2022-01-01,2022
2-1,2020,515400.0,161500.0,353900.0,NHDRA,2020-01-01,2020
2-2,2022,159300.0,159300.0,0.0,City Parcel Master,2022-01-01,2022
2-2,2020,159500.0,159500.0,0.0,NHDRA,2020-01-01,2020
2-3,2022,573200.0,159300.0,413600.0,City Parcel Master,2022-01-01,2022
2-3,2020,573300.0,159400.0,413600.0,NHDRA,2020-01-01,2020
2-5,2022,653500.0,152900.0,500600.0,City Parcel Master,2022-01-01,2022
2-5,2020,653700.0,153100.0,500600.0,NHDRA,2020-01-01,2020
2-6,2022,737900.0,154100.0,583800.0,City Parcel Master,2022-01-01,2022
2-6,2020,738000.0,154200.0,583800.0,NHDRA,2020-01-01,2020
2-7,2022,538400.0,144400.0,385900.0,City Parcel Master,2022-01-01,2022
2-7,2020,543700.0,144600.0,391000.0,NHDRA,2020-01-01,2020
