comparison_type,parcel_id,map,block,lot,current_sale_price,current_sale_date,current_qualified,current_book_page,prior1_sale_price,prior1_sale_date,prior1_book_page,prior2_sale_price,prior2_sale_date,prior2_book_page,prior3_sale_price,prior3_sale_date,prior3_book_page,data_quality_notes
ORIGINAL_NHDRA,1-1,1,1,,0.0,2017-10-23,Q,0/0,0.0,2001-11-05,2602/0661,0.0,2001-07-25,2567/0326,260000.0,1989-01-26,1794/0965,Original NHDRA flat file data
CORRECTED_COMPREHENSIVE,1-1,1,1,,0.0,2017-10-23,Q,0/0,0.0,2001-11-05,2602/0661,0.0,2001-07-25,2567/0326,260000.0,1989-01-26,1794/0965,Comprehensive sales data from multiple sources - VALIDATED: 1 sales cross-referenced with 4 sources
ORIGINAL_NHDRA,2-15,2,15,,2013000.0,2023-07-17,Q,4813/0100,365000.0,2002-05-01,2885/0916,365000.0,2001-03-23,2524/0982,0.0,1987-01-22,1650/0626,Original NHDRA flat file data
CORRECTED_COMPREHENSIVE,2-15,2,15,,2013000.0,2023-07-17,Q,4813/0100,365000.0,2002-05-01,2885/0916,365000.0,2001-03-23,2524/0982,0.0,1987-01-22,1650/0626,Comprehensive sales data from multiple sources - VALIDATED: 3 sales cross-referenced with 4 sources
ORIGINAL_NHDRA,3-2,3,2,,565000.0,2021-06-17,Q,4649/581,337000.0,2003-09-12,2890/0293,337000.0,1979-06-13,1370/0754,0.0,1901-01-01,0/0,Original NHDRA flat file data
CORRECTED_COMPREHENSIVE,3-2,3,2,,565000.0,2021-06-17,Q,4649/581,337000.0,2003-09-12,2890/0293,337000.0,1979-06-13,1370/0754,0.0,1901-01-01,0/0,Comprehensive sales data from multiple sources - VALIDATED: 3 sales cross-referenced with 4 sources
ORIGINAL_NHDRA,3-4,3,4,,374000.0,2017-04-05,Q,4276/0487,325533.0,2007-08-31,3445/0248,325533.0,1967-06-12,1054/0569,0.0,1900-01-01,0/0,Original NHDRA flat file data
CORRECTED_COMPREHENSIVE,3-4,3,4,,374000.0,2017-04-05,Q,4276/0487,325533.0,2007-08-31,3445/0248,325533.0,1967-06-12,1054/0569,0.0,1900-01-01,0/0,Comprehensive sales data from multiple sources - VALIDATED: 3 sales cross-referenced with 4 sources
ORIGINAL_NHDRA,3-5,3,5,,0.0,1997-06-05,Q,0/0,0.0,1997-06-05,0/0,0.0,1997-06-05,0/0,0.0,1989-12-15,1837/0617,Original NHDRA flat file data
CORRECTED_COMPREHENSIVE,3-5,3,5,,0.0,1997-06-05,Q,0/0,0.0,1989-12-15,1837/0617,,,,,,,Comprehensive sales data from multiple sources - VALIDATED: 0 sales cross-referenced with 2 sources
ORIGINAL_NHDRA,3-6,3,6,,0.0,2021-08-01,U,4654/406,575000.0,2010-07-30,3719/0414,575000.0,1996-09-06,2216/0341,0.0,1982-08-18,1452/0471,Original NHDRA flat file data
