REM_MBLU_MAP,REM_MBLU_BLOCK,REM_MBLU_LOT,REM_MBLU_UNIT,VNS_AYB,VNS_EYB,VNS_STYLE,VNS_STYLE_DESC,VNS_OCC,VNS_OCC_DESC,VNS_GRADE,VNS_GRADE_DESC,VNS_BLDG_AREA_LIVING,VNS_BLDG_AREA_GROSS,VNS_BLDG_AREA_EFFECTIVE,VNS_PCT_GOOD,CNS_ASSESS_VAL
      1,      1,       ,       ,1963,2001,09,CONTEMPORY,1010,ONE FAM,C-,AVG. (-),2332,3533,2632,79,283100
      1,      2,       ,       ,1976,2008,09,CONTEMPORY,1010,ONE FAM,B-,GOOD (-),2306,6528,3043,86,467700
      1,      3,    100,       ,1940,2005,19,RANCH,1010,ONE FAM,B,GOOD,1494,3882,2266,83,359600
      1,      3,    200,       ,2005,2013,19,RANCH,1010,ONE FAM,A-,V GOOD-,3822,9513,5242,91,964300
      1,      6,       ,       ,1964,2011,09,CONTEMPORY,1010,ONE FAM,A-,V GOOD-,2732,5244,3227,89,616700
      1,      8,       ,       ,1972,2010,05,CAPE,1010,ONE FAM,C+,AVG. (+),2411,5148,3037,88,397200
      1,      9,       ,       ,1977,2001,05,CAPE,1010,ONE FAM,C+,AVG. (+),3168,6268,3943,79,372500
      1,     10,       ,       ,1975,2012,05,CAPE,1010,ONE FAM,A,VERY GOOD,2278,5676,3040,90,634800
      2,      1,       ,       ,1983,2012,05,CAPE,1010,ONE FAM,C+,AVG. (+),1855,5184,2496,90,353900
      2,      2,       ,       ,,,,,1300,,,,0,0,0,,0
      2,      3,       ,       ,1985,2004,06,COLONIAL,1010,ONE FAM,C+,AVG. (+),2968,6968,3850,82,413600
      2,      4,       ,       ,,,,,9090,,,,0,0,0,,0
      2,      5,       ,       ,1998,2012,06,COLONIAL,1010,ONE FAM,B,GOOD,2280,4564,2900,90,500600
      2,      6,       ,       ,1996,2014,05,CAPE,1010,ONE FAM,B+,GOOD (+),2584,6480,3295,92,583800
      2,      7,       ,       ,1997,2013,06,COLONIAL,1010,ONE FAM,B-,GOOD (-),1792,2972,2066,91,385900
      2,      8,       ,       ,,,,,1300,,,,0,0,0,,0
      2,      9,       ,       ,1985,2012,18,SPLIT/RSD RANCH,1010,ONE FAM,C+,AVG. (+),1546,3436,2029,90,303200
      2,     10,       ,       ,1986,2014,05,CAPE,1010,ONE FAM,C+,AVG. (+),1512,4114,2117,92,346400
      2,     11,       ,       ,,,,,9090,,,,0,0,0,,0
      2,     12,       ,       ,,,,,1320,,,,0,0,0,,0
      2,     13,       ,       ,,,,,1320,,,,0,0,0,,0
      2,     14,       ,       ,1950,1993,05,CAPE,1010,ONE FAM,C+,AVG. (+),2079,4044,2611,71,14300
      2,     15,       ,       ,1960,1990,58,SCHOOL,3400,OFFICE,B+,Good (+),3368,6906,4743,68,897100
      2,     16,       ,       ,1966,2004,06,COLONIAL,1010,ONE FAM,C+,AVG. (+),2398,3430,2696,82,364700
      3,      2,       ,       ,1980,2012,09,CONTEMPORY,1010,ONE FAM,B-,GOOD (-),1267,4460,2213,90,359600
      3,      4,       ,       ,1967,2008,18,SPLIT/RSD RANCH,1010,ONE FAM,C+,AVG. (+),1086,2465,1493,86,254100
      3,      5,       ,       ,,,,,9030,,,,0,0,0,,0
      3,      6,       ,       ,1968,2004,19,RANCH,1010,ONE FAM,B+,GOOD (+),2375,3233,2802,82,449000
      3,      7,       ,       ,1974,2008,19,RANCH,1010,ONE FAM,C+,AVG. (+),1506,3949,2243,86,306400
      3,      8,       ,       ,1970,2004,06,COLONIAL,1010,ONE FAM,B,GOOD,2320,4368,3139,82,488100
      3,      9,       ,       ,1966,2001,06,COLONIAL,1010,ONE FAM,B,GOOD,2900,5136,3621,79,522700
      3,     10,       ,       ,1981,2005,05,CAPE,1010,ONE FAM,B,GOOD,3177,7132,4055,83,568500
      3,     11,       ,       ,1995,2016,06,COLONIAL,1010,ONE FAM,B,GOOD,2425,5112,3022,94,552600
      3,     12,       ,       ,1970,2001,18,SPLIT/RSD RANCH,1010,ONE FAM,B,GOOD,1782,3720,2348,79,359500
