REM_MBLU_MAP,REM_MBLU_BLOCK,REM_MBLU_LOT,REM_MBLU_UNIT,REM_PRCL_LOCN,PRC_TTL_LND_AREA_ACRES,LND_FRONTAGE,LND_DEPTH,LND_SITE_IDX,LND_OCC,LND_OCC_DESC,LND_ASSESS_VAL,LND_LINE_NUM,LND_BLDG_NUM
      1,      1,       ,       ,17 FARAWAY LN ,2.340000,,,0,1010,ONE FAM,4300.00,2,1
      1,      1,       ,       ,17 FARAWAY LN ,2.340000,,,5,1010,ONE FAM,159600.00,1,1
      1,      2,       ,       ,19 FARAWAY LN ,2.290000,,,0,1010,ONE FAM,4100.00,2,1
      1,      2,       ,       ,19 FARAWAY LN ,2.290000,,,5,1010,ONE FAM,144000.00,1,1
      1,      3,    100,       ,23 FARAWAY LN,1.560000,,,0,1010,ONE FAM,2200.00,2,1
      1,      3,    100,       ,23 FARAWAY LN,1.560000,,,5,1010,ONE FAM,159600.00,1,1
      1,      3,    200,       ,25 FARAWAY LN ,6.200000,,,0,1010,ONE FAM,16600.00,2,1
      1,      3,    200,       ,25 FARAWAY LN ,6.200000,,,5,1010,ONE FAM,159600.00,1,1
      1,      6,       ,       ,31 FARAWAY LN ,6.590000,,,0,1010,ONE FAM,15700.00,2,1
      1,      6,       ,       ,31 FARAWAY LN ,6.590000,,,5,1010,ONE FAM,255400.00,1,1
      1,      8,       ,       ,22 FARAWAY LN ,2.380000,,,0,1010,ONE FAM,5500.00,2,1
      1,      8,       ,       ,22 FARAWAY LN ,2.380000,,,5,1010,ONE FAM,159600.00,1,1
      1,      9,       ,       ,3 HILLTOP DR,1.050000,,,0,1010,ONE FAM,200.00,2,1
      1,      9,       ,       ,3 HILLTOP DR,1.050000,,,5,1010,ONE FAM,159600.00,1,1
      1,     10,       ,       ,7 HILLTOP DR ,2.540000,,,0,1010,ONE FAM,6200.00,2,1
      1,     10,       ,       ,7 HILLTOP DR ,2.540000,,,5,1010,ONE FAM,159600.00,1,1
      2,      1,       ,       ,8 HILLTOP DR,1.580000,,,0,1010,ONE FAM,1900.00,2,1
      2,      1,       ,       ,8 HILLTOP DR,1.580000,,,5,1010,ONE FAM,159600.00,1,1
      2,      2,       ,       ,0 HILLTOP DR,0.890643,,,5,1300,RES LAND,159300.00,1,1
      2,      3,       ,       ,2 FARAWAY LN,0.890000,,,5,1010,ONE FAM,159300.00,1,1
      2,      4,       ,       ,0 CHAMBERS CIR ,3.400000,,,0,9090,OPEN SPACE,0.00,1,1
      2,      5,       ,       ,16 CHAMBERS CIR,0.680000,,,5,1010,ONE FAM,152900.00,1,1
      2,      6,       ,       ,14 CHAMBERS CIR,0.700000,,,5,1010,ONE FAM,154100.00,1,1
      2,      7,       ,       ,12 CHAMBERS CIR,0.670000,,,5,1010,ONE FAM,144400.00,1,1
      2,      8,       ,       ,10 CHAMBERS CIR ,0.670000,,,5,1300,RES LAND,136800.00,1,1
      2,      9,       ,       ,2 WYETH FARM CIR,0.740000,,,5,1010,ONE FAM,112100.00,1,1
      2,     10,       ,       ,1 WYETH FARM CIR,0.790000,,,5,1010,ONE FAM,102500.00,1,1
      2,     11,       ,       ,0 WYETH FARM CIR ,2.740000,,,0,9090,OPEN SPACE,0.00,1,1
      2,     12,       ,       ,0 N MAIN ST,0.219995,,,5,1320,UNDEV,400.00,1,1
      2,     13,       ,       ,0 N MAIN ST ,0.200000,,,5,1320,UNDEV,300.00,1,1
